idx  name          header    gold    debt    town    rice  output    dams loyalty  wealth     men  morale   skill    arms
  0  Noto               0      33       0      25      44      30      26      24      38      48      23      53      51
  1  Echigo          1000      63       0      48      79      80      78      79      70      74      74      61      71
  2  Musashi         1000      53       0      61      80      80      75      63      65      70      68      68      65
  3  Kaga            1000      42       0      38      58      61      52      74      72      41      53      41      38
  4  Echizen         1000      52       0      44      68      70      71      59      54      62      56      58      59
  5  Hida            1000      38       0      41      36      42      61      73      69      54      68      63      50
  6  Suruga          1000      68       0      65      48      45      73      65      64      73      61      72      63
  7  Mikawa          1000      69       0      66      75      80      80      76      77      71      75      74      73
  8  Mino            1000      29       0      31      25      28      21      31      22      38      21      48      45
  9  Yamato          1000      42       0      40      38      36      51      50      48      38      47      31      35
 10  Omi             1000      58       0      53      69      57      61      58      57      58      61      72      63
 11  Iga             1000      36       0      38      24      21      42      46      45      21      45      26      27
 12  Iseshima        1000      55       0      51      52      48      76      65      60      74      65      75      71
 13  Yamashir        1000      63       0      68      57      61      48      38      46      52      36      56      48
 14  Settsu          1000      62       0      68      69      63      63      65      61      69      70      69      58
 15  Shinano         1000      73       0      78      40      46      80      74      68      72      73      71      63
 16  Owari           1000      62       0      58      80      80      80      71      72      78      77      78      80
