idx  clan               age    health     drive      luck  charisma        iq    status
  0  Kakizaki            11       106        30        75        61        52         0
  1  Tsugaru             10       102        98        74        69        72         0
  2  Nanbu               62        63       102        88        73        81         0
  3  Kasai               26        72        52        41        68        61         0
  4  Akita               23        90        95       100        72        81         0
  5  Date                17        81       108        48        92       102         0
  6  Mogami              39        72       110        70        61       108         0
  7  Yuki                27       108        45        51        75        64         0
  8  Ashina              39       111        86        88        92        63         0
  9  Uesugi              30        82       106        89       113       110         0
 10  Satake              13        81        75       108        61        98         0
 11  Utsunomi            17        77        59        75        31        64         0
 12  Satomi              53        55       100        99        86        83         0
 13  Hojo                22        91       101       104        88       106         0
 14  Takeda              39        98       104        93       101       112         0
 15  Hatakeya            21        95        81        83        46        70         0
 16  Jinbo               22       102        60        51        78        69         0
 17  Anekoji             20        90        85        46       109        88         0
 18  Kiso                20        85        98       112        59        79         0
 19  Imagawa             41        52       113        31        88        91         0
 20  Honganji            30        83        96        88        80        65         0
 21  Asakura             27        71       103       105        84       101         0
 22  Saito               33        96        93        77        31        92         0
 23  Tokugawa            18       104       102       115       110       115         0
 24  Oda                 26       102       115       111       106       108         0
 25  Kitabata            32       115       110       102        85        88         0
 26  Asai                15        86        90        96        81        92         0
 27  Rokkaku             39        90        36        52        60        81         0
 28  Isshiki             49        81        88        69        52        68         0
 29  Hatano              31        76        52        49        28        71         0
 30  Ashikaga            23        73        98        82        52        86         0
 31  Tsutsui             11        86        52        95        61        92         0
 32  Miyoshi             38        96       106        86       101        81         0
 33  Horiuchi            11        85        61        83        51        63         0
 34  Yamana              12        91        85        75        41        36         0
 35  Bessho               6        84        63        22        35        63         0
 36  Amako               46        62        92        88        76        83         0
 37  Ukita               30        70        43        61        76        88         0
 38  Mori                63        75       102        93       111       113         0
 39  Sogo                 6        95        91        76        61        70         0
 40  Hosokawa            46        55        90        20        40        71         0
 41  Kono                32        92        58        41        48        85         0
 42  Chosokab            21        81       112       106        93       108         0
 43  Ichijo              17        65        53        49        67        71         0
 44  Kinoi               24        93        82        69        52        54         0
 45  Ruzoji              31        82       110       107       103        96         0
 46  Otomo               30        88       102        73        46        65         0
 47  Aso                 39        76        59        85        82        88         0
 48  Ito                 48        96        48        56        61        43         0
 49  Shimazu             46       103        83        69        96        95         0
