OPCODE CLASSIFICATION (Phase 1 pass)
==============================================================================
  op   addr  helpers                              operation
------------------------------------------------------------------------------
  $00  $E87F  -                                    load_word_via_ptr0_to_A
  $01  $E883  -                                    load_word_via_ptr0_to_A
  $02  $E887  -                                    load_word_via_ptr0_to_A
  $03  $E88B  -                                    load_word_via_ptr0_to_A
  $04  $E88F  -                                    load_word_via_ptr0_to_A
  $05  $E893  -                                    load_word_via_ptr0_to_A
  $06  $E897  -                                    load_word_via_ptr0_to_A
  $07  $E89B  -                                    load_word_via_ptr0_to_A
  $08  $E89F  -                                    load_word_via_ptr0_to_A
  $09  $E8A3  -                                    load_word_via_ptr0_to_A
  $0A  $E8A7  -                                    load_word_via_ptr0_to_A
  $0B  $E8AB  -                                    load_word_via_ptr0_to_A
  $0C  $E8D0  -                                    load_word_via_fp_to_A
  $0D  $E8CC  -                                    load_word_via_fp_to_A
  $0E  $E8C8  -                                    load_word_via_fp_to_A
  $0F  $E8C4  -                                    load_word_via_fp_to_A
  $10  $E8DE  -                                    load_word_via_ptr0_to_B
  $11  $E8E2  -                                    load_word_via_ptr0_to_B
  $12  $E8E6  -                                    load_word_via_ptr0_to_B
  $13  $E8EA  -                                    load_word_via_ptr0_to_B
  $14  $E8EE  -                                    load_word_via_ptr0_to_B
  $15  $E8F2  -                                    load_word_via_ptr0_to_B
  $16  $E8F6  -                                    load_word_via_ptr0_to_B
  $17  $E8FA  -                                    load_word_via_ptr0_to_B
  $18  $E8FE  -                                    load_word_via_ptr0_to_B
  $19  $E902  -                                    load_word_via_ptr0_to_B
  $1A  $E906  -                                    load_word_via_ptr0_to_B
  $1B  $E90A  -                                    load_word_via_ptr0_to_B
  $1C  $E92F  -                                    load_word_via_fp_to_B
  $1D  $E92B  -                                    load_word_via_fp_to_B
  $1E  $E927  -                                    load_word_via_fp_to_B
  $1F  $E923  -                                    load_word_via_fp_to_B
  $20  $E93D  -                                    store_word_from_A_via_ptr0
  $21  $E941  -                                    store_word_from_A_via_ptr0
  $22  $E945  -                                    store_word_from_A_via_ptr0
  $23  $E949  -                                    store_word_from_A_via_ptr0
  $24  $E94D  -                                    store_word_from_A_via_ptr0
  $25  $E951  -                                    store_word_from_A_via_ptr0
  $26  $E955  -                                    store_word_from_A_via_ptr0
  $27  $E959  -                                    store_word_from_A_via_ptr0
  $28  $E95D  -                                    store_word_from_A_via_ptr0
  $29  $E961  -                                    store_word_from_A_via_ptr0
  $2A  $E965  -                                    store_word_from_A_via_ptr0
  $2B  $E969  -                                    store_word_from_A_via_ptr0
  $2C  $E98E  -                                    store_word_from_A_via_fp
  $2D  $E98A  -                                    store_word_from_A_via_fp
  $2E  $E986  -                                    store_word_from_A_via_fp
  $2F  $E982  -                                    store_word_from_A_via_fp
  $30  $E99C  -                                    push_word_via_ptr0
  $31  $E9A0  -                                    push_word_via_ptr0
  $32  $E9A4  -                                    push_word_via_ptr0
  $33  $E9A8  -                                    push_word_via_ptr0
  $34  $E9AC  -                                    push_word_via_ptr0
  $35  $E9B0  -                                    push_word_via_ptr0
  $36  $E9B4  -                                    push_word_via_ptr0
  $37  $E9B8  -                                    push_word_via_ptr0
  $38  $E9BC  -                                    push_word_via_ptr0
  $39  $E9C0  -                                    push_word_via_ptr0
  $3A  $E9C4  -                                    push_word_via_ptr0
  $3B  $E9C8  -                                    push_word_via_ptr0
  $3C  $E9EB  -                                    push_word_via_fp
  $3D  $E9E7  -                                    push_word_via_fp
  $3E  $E9E3  -                                    push_word_via_fp
  $3F  $E9DF  -                                    push_word_via_fp
  $40  $EA00  -                                    clearA_set_to_Y
  $41  $E9F6  -                                    set_A_to_opcode_low_nibble
  $42  $E9F6  -                                    set_A_to_opcode_low_nibble
  $43  $E9F6  -                                    set_A_to_opcode_low_nibble
  $44  $E9F6  -                                    set_A_to_opcode_low_nibble
  $45  $E9F6  -                                    set_A_to_opcode_low_nibble
  $46  $E9F6  -                                    set_A_to_opcode_low_nibble
  $47  $E9F6  -                                    set_A_to_opcode_low_nibble
  $48  $E9F6  -                                    set_A_to_opcode_low_nibble
  $49  $E9F6  -                                    set_A_to_opcode_low_nibble
  $4A  $E9F6  -                                    set_A_to_opcode_low_nibble
  $4B  $E9F6  -                                    set_A_to_opcode_low_nibble
  $4C  $E9F6  -                                    set_A_to_opcode_low_nibble
  $4D  $E9F6  -                                    set_A_to_opcode_low_nibble
  $4E  $E9F6  -                                    set_A_to_opcode_low_nibble
  $4F  $E9F6  -                                    set_A_to_opcode_low_nibble
  $50  $EA11  -                                    unknown
  $51  $EA07  -                                    set_B_to_opcode_low_nibble
  $52  $EA07  -                                    set_B_to_opcode_low_nibble
  $53  $EA07  -                                    set_B_to_opcode_low_nibble
  $54  $EA07  -                                    set_B_to_opcode_low_nibble
  $55  $EA07  -                                    set_B_to_opcode_low_nibble
  $56  $EA07  -                                    set_B_to_opcode_low_nibble
  $57  $EA07  -                                    set_B_to_opcode_low_nibble
  $58  $EA07  -                                    set_B_to_opcode_low_nibble
  $59  $EA07  -                                    set_B_to_opcode_low_nibble
  $5A  $EA07  -                                    set_B_to_opcode_low_nibble
  $5B  $EA07  -                                    set_B_to_opcode_low_nibble
  $5C  $EA07  -                                    set_B_to_opcode_low_nibble
  $5D  $EA07  -                                    set_B_to_opcode_low_nibble
  $5E  $EA07  -                                    set_B_to_opcode_low_nibble
  $5F  $EA07  -                                    set_B_to_opcode_low_nibble
  $60  $EA18  -                                    unknown
  $61  $EA18  -                                    unknown
  $62  $EA18  -                                    unknown
  $63  $EA18  -                                    unknown
  $64  $EA18  -                                    unknown
  $65  $EA18  -                                    unknown
  $66  $EA18  -                                    unknown
  $67  $EA18  -                                    unknown
  $68  $EA18  -                                    unknown
  $69  $EA18  -                                    unknown
  $6A  $EA18  -                                    unknown
  $6B  $EA18  -                                    unknown
  $6C  $EA18  -                                    unknown
  $6D  $EA18  -                                    unknown
  $6E  $EA18  -                                    unknown
  $6F  $EA18  -                                    unknown
  $70  $EA2C  -                                    unknown
  $71  $EA20  -                                    unknown
  $72  $EA20  -                                    unknown
  $73  $EA20  -                                    unknown
  $74  $EA20  -                                    unknown
  $75  $EA20  -                                    unknown
  $76  $EA20  -                                    unknown
  $77  $EA20  -                                    unknown
  $78  $EA20  -                                    unknown
  $79  $EA20  -                                    unknown
  $7A  $EA20  -                                    unknown
  $7B  $EA20  -                                    unknown
  $7C  $EA20  -                                    unknown
  $7D  $EA20  -                                    unknown
